-101,-1.85533990070824e-14,33
-101,-1.23689326713883e-14,33
-99,-20,33
-99,-16,21
-99,-16,45
-99,-12,17
-99,-12,49
-99,-1.81860049673382e-14,13
-99,-1.81860049673382e-14,53
-99,-1.21240033115588e-14,13
-99,-1.21240033115588e-14,53
-99,12,17
-99,12,49
-99,16,21
-99,16,45
-99,20,33
-96,-29,21
-96,-29,45
-96,-27,17
-96,-27,49
-96,-16,6
-96,-16,60
-96,-12,4
-96,-12,62
-96,12,4
-96,12,62
-96,16,6
-96,16,60
-96,27,17
-96,27,49
-96,29,21
-96,29,45
-93,-36,17
-93,-36,49
-93,-16,69
-93,16,69
-93,36,17
-93,36,49
-92,-36,12
-92,-36,54
-92,-21,69
-92,21,69
-92,36,12
-92,36,54
-84,-56,30
-84,-56,36
-84,-52,12
-84,-52,54
-84,-48,4
-84,-48,62
-84,-43,69
-84,-36,76
-84,-29,81
-84,-21,85
-84,-3.00000000000001,89
-84,2.99999999999998,89
-84,21,85
-84,29,81
-84,36,76
-84,43,69
-84,48,4
-84,48,62
-84,52,12
-84,52,54
-84,56,30
-84,56,36
-72,-69,17
-72,-69,49
-72,-61,69
-72,-36,94
-72,-16,102
-72,16,102
-72,36,94
-72,61,69
-72,69,17
-72,69,49
-69,-72,17
-69,-72,49
-69,-56,81
-69,-48,89
-69,-16,105
-69,16,105
-69,48,89
-69,56,81
-69,72,17
-69,72,49
-61,72,69
-61,-36,105
-61,36,105
-61,-72,69
-56,69,81
-56,84,30
-56,84,36
-56,-48,102
-56,-3.00000000000001,117
-56,2.99999999999999,117
-56,48,102
-56,-84,30
-56,-84,36
-56,-69,81
-52,84,12
-52,84,54
-52,-21,117
-52,21,117
-52,-84,12
-52,-84,54
-48,69,89
-48,84,4
-48,84,62
-48,-56,102
-48,-29,117
-48,29,117
-48,56,102
-48,-84,4
-48,-84,62
-48,-69,89
-43,84,69
-43,-36,117
-43,36,117
-43,-84,69
-36,61,105
-36,72,94
-36,84,76
-36,92,12
-36,92,54
-36,93,17
-36,93,49
-36,-43,117
-36,-21,125
-36,-16,126
-36,16,126
-36,21,125
-36,43,117
-36,-93,17
-36,-93,49
-36,-92,12
-36,-92,54
-36,-84,76
-36,-72,94
-36,-61,105
-29,96,21
-29,96,45
-29,48,117
-29,84,81
-29,-12,129
-29,12,129
-29,-84,81
-29,-48,117
-29,-96,21
-29,-96,45
-27,96,17
-27,96,49
-27,-16,129
-27,16,129
-27,-96,17
-27,-96,49
-21,92,69
-21,36,125
-21,52,117
-21,84,85
-21,-84,85
-21,-52,117
